candidate,run_date,row_index,source_asset_id,expected_pot_number,detected_numbers,detected_count,match,image_missing,ocr_text_preview
baseline,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"2,4,33",3,0,0,"Ws fa bey BOE Ss yor"" WY ~ Bes eee ey 0 ad, ae 2 Xe FRayeSaecre et aN NCR AL BO RFRA Ty ESE , REN Sy RG od aS OT ARNE OEE Pie a ace he Pee RT ark. || eh ait. oo ren my ty y > ee nt"
wide_lower,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"2,9,4,6,7,5,3",7,0,0,ST [2 ay Pee SS +: se| eA rae oon 9 {5N bss X. tase” Boccia? AN GEN ee AEST CAS dey 4 wt ae: BAA oe RED aee aXe ae PEEL GCS | ae EF ey sy a enk OMe pose Pe ee? et Sr “\ pay yeaa” -
center_tall,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"7,4,3,2,38",5,0,0,"— 7 on “NAT NO be wee oy 4 > : = i) § j i) aN * \ —F (x enh p . 7 Pht, YA oN TE a Ye 3° oD Neg Re CaN wd Ny RO Pie eG es SESS a en ee . fob coe acs OOS BE ESE, OS oa ata aNd Se LDV"
left_tall,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"2,3,29,5,1,33,6",7,1,0,"ei Te - * Aw NAN CON pb PP “<2 — ‘ : ? We —s >. os bes _ "" a ve EF as oe ~ Sgt wie PETRY OBEN | ene \ rae) el pt . fat te aod “> far ants PAL pata 3 SOAS es Na AT x ae LA . 7g st B"
right_tall,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"2,7,5,3,33,4",6,0,0,"me At: bt ¢ ~. |g ae as rn SWids Noosa i BA” 2 7 ee NS a %, gaeest AN whe’ rae eS ¥ a fett Nq co NTA, RIAA NO LS », ws i WS AN Co, SAV fan “- SS med Ee Sere } a Cee He een ; a Si A"
wide_tall,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"3,5,4,2,1,7,23,33",8,1,0,"~ or ON ee er Ne ares a) = J oe ee eg eee “AN sy ape, aT, {- 3. we . oo . an . “ os Na at ane 7x \\ 5 . AS i, See ; “oe ok nv ax ate an Fat > oo. e| raXDs. N 4 . an. i 2 Eee Wee sa"
narrow_top,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"2,5,7,4,1,38",6,1,0,"sa Oe DP TO uae eee ae Nek , mo elt: \ os > LC A, ees Ne v * ) > —— *. 2 je ne tol c X 5 eee ie f 7 As Sey BSE YA SERS ES oo Keen EA SGN RN ‘ ~— ng 4 ee ae 7 FRANS fr SaN Seedy oh "
broad_top,2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1,"4,7,24,33,25,2,3",7,0,0,"pes * ~ a os “we Neo aT: - > ae : iv om. ue “NN a Smtr > J (4 —_ ek. eee “SNA ES pear : Ee PS cet 7 ° ee ad om, Aw. ~~ Nad =! pe. an a4 nity RQ QS . SP Derers oo = sre Meee At kek,"
baseline,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"7,2,1,5,22,4",6,1,0,"ke NM Steen : Vi LSC g Veh iA Ney ees OR Uy, ‘ Es 'NS rr EY A BRT ASN ef PL OY ncn. ‘ Aa eae . SSR a oe ‘ ic ‘ 7 aren 41 - eT “s Seca os || OAS eK ah Yi +. m SR Lioypece csi acs a "
wide_lower,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"2,7,3,9,4,1,5,8",8,1,0,"By EN ro. Se Nyt an ne,” \ OA: eet nd ve Saute Sab Mien ON CEE q ‘ plans, ip “. Loan) EN SEY Ay \ “ ifser SUG y SALEEM NS Gate \2) PET i - Boge tin AP area aa bya ory PR et ay. “Xs"
