queue_priority_rank,severity_score,pot_id,variety_name,tracking_readiness,anchor_mode,focus_score,pot_coverage,neighbor_spill_ratio,spill_in_pot_ratio,chlorosis_ratio,growth_delta,capture_date,disambiguation_note,next_step_text,overlay_path,crop_path,photo_url,source_asset_id
1,0.756,8T,Iles Yellow Latvian,low,plant,0.365,0.019779,0.783833,0.756489,0.060302,,2026-03-06,"Severe neighbor overlap. Lock the pot walls first, then isolate only foliage clearly rooted inside that pot.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/8t_af1qipow6v-yc2kh_overlay.jpg,assets/v1-10-pot-cv/8t_af1qipow6v-yc2kh_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczNniP7L3Z2svMX91fvJX7byX2-srinnkB6AIc_ylBCAB8EWneHErcm2o9g8JG6RwTQLktbg-WAF64uEj52n5Mkq6OwLpLn2wqL-qR5HlPyZw3vjbD0x,AF1QipOW6V-Yc2KHVuQY0q7y8p9KEEDJFvTB0CEvI_bw
2,0.652,24T,Gold Dust,moderate,plant,0.413,0.012711,0.722539,0.660033,0.347458,-0.659012,2026-03-06,"Severe neighbor overlap. Lock the pot walls first, then isolate only foliage clearly rooted inside that pot.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/24t_af1qippvpnsmurjw_overlay.jpg,assets/v1-10-pot-cv/24t_af1qippvpnsmurjw_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMJNY0XsXbMvV4ZOCy2erWVG74PXi5mVHNyaPn7MraEayYmhjZtAa1e34d04PnOllhAQ5vI09wMWMzcVuvuyXDqCfF9-H8flH_eGrRbcmt-bOeL-PKH,AF1QipPVpNsmUrjwtGYItBd3WoB4WYasSXfKtnbbNwsp
3,0.650,31T,Iles Yellow Latvian,low,plant,0.469,0.033048,0.642555,0.677165,0.0,,2026-03-06,High spill case. Treat the current overlay as a hint only and separate target leaves from adjacent pots before tracing.,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/31t_af1qipmslzsg0vhr_overlay.jpg,assets/v1-10-pot-cv/31t_af1qipmslzsg0vhr_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMxmOPmTSLuyZtrh1inJ506Vrb_upZJMDwVT8rABZBlGakQV1C4ceypPQ5M5BXFZ4iMLA9NKV5UcKBXT_q3f4_QwitFNnRJvG2Ba2Gv2oCTZPd4djB2,AF1QipMSlzsG0VHRH0q-UFOhNpz3x1SWr6M9_KVxUKl5
4,0.647,32T,Sunset's Red Horizon,low,plant,0.468,0.033606,0.637292,0.669915,0.00463,,2026-03-06,High spill case. Treat the current overlay as a hint only and separate target leaves from adjacent pots before tracing.,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/32t_af1qipnp0zrwei2-_overlay.jpg,assets/v1-10-pot-cv/32t_af1qipnp0zrwei2-_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczPLzGnxUjK_OB4P5HJUA_1YgxWQt-Ip6CAb0tNdlBHEBNdlkRB5WB2Zuixy4ILWjoAphh6c-zD3yXl8wkj-Lsmih9CzseoJnQSxfafdmXntuBEg2MSz,AF1QipNP0zRwei2-Jb3B-pWhjQk-CEuK4eO_jV91dBdY
5,0.644,17T,Japanese Black Trifele,moderate,plant,0.429,0.013139,0.71463,0.850653,0.325926,-0.713691,2026-03-06,"Severe neighbor overlap. Lock the pot walls first, then isolate only foliage clearly rooted inside that pot.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/17t_af1qipo5nipmcpzn_overlay.jpg,assets/v1-10-pot-cv/17t_af1qipo5nipmcpzn_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMrbI6pDaCtkzrLHWunTo_RbCNp_WdDDujFjJ9DCBpu-xWeKwPHCHPogWgL98aOn_AauqcoNsPq6YHoXDp6g4c-C4bA_FKX0541XQNQ0WroH-aMiwLE,AF1QipO5NIPMCpznxY-5SxopOzxkZ59PSybv1Py9FVLE
6,0.499,21T,Sasha Altai,moderate,plant,0.509,0.043666,0.496783,0.539005,0.27129,0.517603,2026-03-06,"Moderate overlap. Trace the pot interior first, then keep the canopy tight to that boundary and exclude crossing leaves.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/21t_af1qipo5lkdo4fi1_overlay.jpg,assets/v1-10-pot-cv/21t_af1qipo5lkdo4fi1_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczO-CNtW5epsnNJ3p49uRgTQDqoDMH9mrHRFggFkziuEWlvlS7bb-rJ-TswcBPQdZTwp52zTe89_H4jR7XA_m3aCYgFpy-KVnYf0BdcqTdNC4dgwV57X,AF1QipO5lkdO4fI1Dp2c6EEkIcPLBjpccDUmSNcrLJbK
7,0.498,29T,Sunset's Red Horizon,low,plant,0.561,0.02145,0.454899,0.424699,0.137525,,2026-03-06,Weak focus and neighbor spill combine here. Verify the pot center manually before deciding which canopy belongs to the target pot.,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/29t_af1qipmmustol_hj_overlay.jpg,assets/v1-10-pot-cv/29t_af1qipmmustol_hj_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczM0Tt5rcnBNJY4CVlmkFo9i-qtTS6EGw32gr8LON0g-wHBwKLBd_Mal0vFK_jJ7367m_5nubUTQVQjEckZpIQOL8yEUeK43oRAxqjuSkCIbGWyPQmiE,AF1QipMMUSTOl_Hjz2hzHjwFwCcYrtOj-s95nKH5PwXN
8,0.388,30T,Sunset's Red Horizon,moderate,plant,0.593,0.049229,0.351388,0.35708,0.326998,,2026-03-06,"Moderate overlap. Trace the pot interior first, then keep the canopy tight to that boundary and exclude crossing leaves.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/30t_af1qipoigcnlmr4g_overlay.jpg,assets/v1-10-pot-cv/30t_af1qipoigcnlmr4g_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMv8q-uCq2LKkFuMvT6HnuOhwJgUbCG6cnsjp5G2Y1La9alA5ddUpfvSQIIbt-JbjqkmuxImFYJyrowI9_cLdEjyqAThynCW5Xuh4vfiug8w2r-7vWc,AF1QipOiGcNlMr4gifITrXc2zJ6awbBEkilBbw_zhvRR
9,0.375,27T,Taxi,moderate,plant,0.582,0.021759,0.354865,0.377483,0.274247,,2026-03-06,"Moderate overlap. Trace the pot interior first, then keep the canopy tight to that boundary and exclude crossing leaves.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/27t_af1qippqkm8n23og_overlay.jpg,assets/v1-10-pot-cv/27t_af1qippqkm8n23og_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczOIFKEzGgIsAT5KVFvZJsAYKKhAtq9ApCwLZzlRBf7UGtU2CepZiedyj3FRa-7xwf545BjgBcQOMmN1FWXAydRu3UVQOf-GkxR8lIOmm5DTUHbAIet7,AF1QipPqKm8N23OgIIMrGA726YobbfCw0gx7-OdSPUYO
10,0.315,23T,Heinz 9129,moderate,plant,0.619,0.020637,0.278984,0.373264,0.179558,-0.91727,2026-03-06,"Moderate overlap. Trace the pot interior first, then keep the canopy tight to that boundary and exclude crossing leaves.",Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,assets/v1-10-pot-cv/23t_af1qipn11y7vzf4y_overlay.jpg,assets/v1-10-pot-cv/23t_af1qipn11y7vzf4y_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMMQrLjMwTO5-xrxsFN6hlwB_PQqVnhx67ScONLfuQos4KdyJwRUVmyA2w2Wj7Dr7nUfD6oHE8qdIPt9TN5XNlVS9pbVPw0uEGXwDqR-w1fkmft4kUW,AF1QipN11Y7vZF4Y1Bq3jQXB7JFs_etJV4m-pgedIsIK
